Año,Mes,Aeropuerto,Infraestructura,IT,NPI,NPN,TUAAN_VER,TUUAN,TUUAN_VER,TUUAI_VER,TUUAI,IRAD_VER,IRAD,AADM_VER,AADM,ADEP_VER,ADEP,ALC_VER,ALC,AOOA_VER,AOOA,ADAH_VER,ADAH,AEHE_VER,AEHE,IREA_VER,IREA,IRIF_VER,IRIF,IRR_VER,IRR,Entidad_Infraestructura
2020,Abril,Andahuaylas,AAP,NA,NA,NA,0,0,NA,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2020,Abril,Arequipa,AAP,949712.2,508,1469,6004.31,6004.31,NA,Si,2028.1,Si,8254.630000000001,No,0,Si,2081.73,Si,-9003.630000000001,No,0,No,0,Si,1206.41,Si,173.36,No,0,Si,562.8299999999999,Aeropuertos Andinos del Perú S.A.
2020,Abril,Atalaya,COR,NA,NA,60,NA,0,No,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2020,Abril,Ayacucho,AAP,NA,NA,26,8.02,8.02,NA,No,0,Si,616.61,No,0,No,0,Si,-661.16,No,0,No,0,Si,224.83,Si,1358.5,No,0,Si,503.51,Aeropuertos Andinos del Perú S.A.
2020,Abril,Cajamarca,ADP,NA,NA,233,645.2700000000001,645.2700000000001,NA,No,0,Si,1247.02,No,0,Si,-801.9599999999999,Si,184.42000000000002,Si,867.8299999999999,Si,124.47,Si,205.89000000000001,Si,2.84,No,0,Si,595.06,Aeropuertos del Perú S.A.
2020,Abril,Chachapoyas,ADP,NA,NA,3,0,0,NA,No,0,Si,90.52,No,0,No,0,No,0,Si,241.62,No,0,No,0,No,0,No,0,Si,109.96000000000001,Aeropuertos del Perú S.A.
2020,Abril,Chiclayo,ADP,3377168.74,13,87,351.5,351.5,NA,No,0,Si,3727.4500000000003,No,0,Si,-2916.58,Si,2276.65,Si,666.3199999999999,Si,-318.06,No,0,Si,82.84,No,0,Si,105062.23,Aeropuertos del Perú S.A.
2020,Abril,Cusco,COR,0,1078,4329,NA,0,No,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2020,Abril,Huánuco,COR,NA,NA,60,NA,0,No,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2020,Abril,Huaraz-Anta,ADP,NA,NA,26,116,116,NA,No,0,Si,81.5,No,0,Si,-150.76999999999998,No,0,No,0,No,0,No,0,Si,0.21000000000000002,No,0,Si,44.3,Aeropuertos del Perú S.A.
2020,Abril,Ilo,COR,NA,NA,312,NA,0,No,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2020,Abril,Iquitos,ADP,518467.46,352,2375,7118.1,7118.1,NA,Si,4836.48,Si,11499.6,No,0,Si,-2225.73,Si,3532.88,Si,1999.59,Si,3186.7599999999998,No,0,Si,1272.28,No,0,Si,216862.77000000002,Aeropuertos del Perú S.A.
2020,Abril,Jauja,COR,NA,NA,20,NA,0,No,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2020,Abril,Juliaca,AAP,NA,NA,119,276.03,276.03,NA,No,0,Si,830.1,No,0,Si,483.87,Si,-479.75,No,0,No,0,Si,3709.7,Si,8.09,No,0,Si,220.47,Aeropuertos Andinos del Perú S.A.
2020,Abril,Lima,AAP,NA,NA,NA,0,0,NA,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Si,985.8,No,0,Aeropuertos Andinos del Perú S.A.
2020,Abril,Lima,ADP,NA,NA,NA,0,0,NA,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Si,73305.48,Si,1694052.04,Aeropuertos del Perú S.A.
2020,Abril,Lima,LAP,NA,NA,1134,9018.8,9018.8,NA,Si,-504.07,Si,319104.35,No,0,No,0,No,0,No,0,No,0,No,0,Si,209362.08,No,0,No,0,Lima Airport Partners S.R.L.
2020,Abril,No precisa,COR,NA,NA,NA,18962.01,18962.01,NA,Si,12090,Si,6992.1500000000005,No,0,Si,2235.68,Si,60356.7,Si,1066.42,Si,7679.92,Si,1834.73,Si,452.83,No,0,No,0,CORPAC S.A.
2020,Abril,Pisco,ADP,NA,NA,6,0,0,NA,No,0,Si,309.61,No,0,Si,-550.1,No,0,Si,246.92000000000002,Si,69.92,No,0,Si,69.45,No,0,Si,179.70999999999998,Aeropuertos del Perú S.A.
2020,Abril,Piura,ADP,296085.12,298,133,403.75,403.75,NA,Si,3936.58,Si,3974.9900000000002,No,0,Si,-2306.5,Si,3636.66,Si,589.75,Si,334.21999999999997,Si,112.55,Si,40.67,No,0,Si,10805.98,Aeropuertos del Perú S.A.
2020,Abril,Pucallpa,ADP,NA,NA,393,886.05,886.05,NA,No,0,Si,3378.66,No,0,Si,-827.8299999999999,Si,2953.63,Si,882.05,Si,633.15,No,0,Si,1153.1899999999998,No,0,Si,2166.15,Aeropuertos del Perú S.A.
2020,Abril,Puerto Maldonado,AAP,NA,NA,356,716.88,716.88,NA,No,0,Si,274.28999999999996,No,0,No,0,Si,-67.09,No,0,No,0,No,0,Si,36.89,No,0,Si,682.15,Aeropuertos Andinos del Perú S.A.
2020,Abril,Tacna,AAP,NA,NA,141,300.66,300.66,NA,No,0,Si,1017.71,No,0,Si,-619.3599999999999,Si,-2894.2,No,0,No,0,Si,2585.55,Si,6.98,No,0,Si,1115.97,Aeropuertos Andinos del Perú S.A.
2020,Abril,Talara,ADP,NA,NA,NA,0,0,NA,No,0,No,0,No,0,Si,-744.1,Si,206.39000000000001,Si,168.76,Si,-623.25,No,0,No,0,No,0,Si,711.22,Aeropuertos del Perú S.A.
