Año,Mes,Aeropuerto,Infraestructura,NPI,NPN,TUUAN_VER,TUUAN,TUUAI_VER,TUUAI,IRAD_VER,IRAD,AADM_VER,AADM,ADEP_VER,ADEP,ALC_VER,ALC,AOOA_VER,AOOA,ADAH_VER,ADAH,AEHE_VER,AEHE,IREA_VER,IREA,IRIF_VER,IRIF,IRR_VER,IRR,Entidad_Infraestructura
2020,Abril,Andahuaylas,AAP,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2020,Abril,Arequipa,AAP,508,1469,Si,6004.31,Si,2028.1,Si,8254.630000000001,No,0,Si,2081.73,Si,-9003.630000000001,No,0,No,0,Si,1206.41,Si,173.36,No,0,Si,562.8299999999999,Aeropuertos Andinos del Perú S.A.
2020,Abril,Atalaya,COR,0,60,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2020,Abril,Ayacucho,AAP,0,26,Si,8.02,No,0,Si,616.61,No,0,No,0,Si,-661.16,No,0,No,0,Si,224.83,Si,1358.5,No,0,Si,503.51,Aeropuertos Andinos del Perú S.A.
2020,Abril,Cajamarca,ADP,0,233,Si,645.2700000000001,No,0,Si,1247.02,No,0,Si,-801.9599999999999,Si,184.42,Si,867.8299999999999,Si,124.47,Si,205.89,Si,2.84,No,0,Si,595.06,Aeropuertos del Perú S.A.
2020,Abril,Chachapoyas,ADP,0,3,No,0,No,0,Si,90.52,No,0,No,0,No,0,Si,241.62,No,0,No,0,No,0,No,0,Si,109.96,Aeropuertos del Perú S.A.
2020,Abril,Chiclayo,ADP,13,87,Si,351.5,No,0,Si,3727.45,No,0,Si,-2916.58,Si,2276.65,Si,666.3199999999999,Si,-318.06,No,0,Si,82.84,No,0,Si,105062.23,Aeropuertos del Perú S.A.
2020,Abril,Cusco,COR,1078,4329,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2020,Abril,Huánuco,COR,0,60,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2020,Abril,Huaraz-Anta,ADP,0,26,Si,116,No,0,Si,81.5,No,0,Si,-150.76999999999998,No,0,No,0,No,0,No,0,Si,0.21,No,0,Si,44.3,Aeropuertos del Perú S.A.
2020,Abril,Ilo,COR,0,312,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2020,Abril,Iquitos,ADP,352,2375,Si,7118.1,Si,4836.48,Si,11499.6,No,0,Si,-2225.73,Si,3532.88,Si,1999.59,Si,3186.76,No,0,Si,1272.28,No,0,Si,216862.77,Aeropuertos del Perú S.A.
